study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB1683	SAMEA1557407	ERX149133	ERR173170	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173170/ERR173170.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173170/ERR173170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173170/ERR173170_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173170/DU23M01_Duroc_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173170
PRJEB1683	SAMEA1557419	ERX149134	ERR173171	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173171/ERR173171.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173171/ERR173171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173171/ERR173171_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173171/DU23M02_Duroc_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173171
PRJEB1683	SAMEA1557423	ERX149135	ERR173172	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173172/ERR173172.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173172/ERR173172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173172/ERR173172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173172/DU23M03_Duroc_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173172
PRJEB1683	SAMEA1557434	ERX149136	ERR173173	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173173/ERR173173.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173173/ERR173173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173173/ERR173173_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173173/DU23M04_Duroc_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173173
PRJEB1683	SAMEA1557391	ERX149137	ERR173174	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173174/ERR173174.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173174/ERR173174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173174/ERR173174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173174/HA20U01_Hampshire_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173174
PRJEB1683	SAMEA1557400	ERX149138	ERR173175	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173175/ERR173175.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173175/ERR173175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173175/ERR173175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173175/HA20U02_Hampshire_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173175
PRJEB1683	SAMEA1557414	ERX149139	ERR173176	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173176/ERR173176.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173176/ERR173176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173176/ERR173176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173176/INDO22_Sumatra_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173176
PRJEB1683	SAMEA1557429	ERX149140	ERR173177	41807	Sus barbatus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173177/ERR173177.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173177/ERR173177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173177/ERR173177_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173177/INDO26_Sbarbatus_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173177
PRJEB1683	SAMEA1557417	ERX149141	ERR173178	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173178/ERR173178.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173178/ERR173178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173178/ERR173178_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173178/INDO33_Sumatra_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173178
PRJEB1683	SAMEA1557388	ERX149142	ERR173179	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173179/ERR173179.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173179/ERR173179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173179/ERR173179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173179/JQ01U02_Jiangquhai_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173179
PRJEB1683	SAMEA1557405	ERX149143	ERR173180	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173180/ERR173180.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173180/ERR173180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173180/ERR173180_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173180/LR21M03_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173180
PRJEB1683	SAMEA1557416	ERX149144	ERR173181	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173181/ERR173181.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173181/ERR173181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173181/ERR173181_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173181/LR24F01_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173181
PRJEB1683	SAMEA1557426	ERX149145	ERR173182	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173182/ERR173182.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173182/ERR173182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173182/ERR173182_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173182/LR24F08_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173182
PRJEB1683	SAMEA1557436	ERX149146	ERR173183	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173183/ERR173183.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173183/ERR173183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173183/ERR173183_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173183/LR30F02_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173183
PRJEB1683	SAMEA1557390	ERX149147	ERR173184	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173184/ERR173184.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173184/ERR173184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173184/ERR173184_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173184/LR30F03_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173184
PRJEB1683	SAMEA1557412	ERX149148	ERR173185	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173185/ERR173185.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173185/ERR173185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173185/ERR173185_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173185/LW22F01_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173185
PRJEB1683	SAMEA1557415	ERX149149	ERR173186	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173186/ERR173186.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173186/ERR173186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173186/ERR173186_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173186/LW22F02_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173186
PRJEB1683	SAMEA1557431	ERX149150	ERR173187	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173187/ERR173187.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173187/ERR173187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173187/ERR173187_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173187/LW22F03_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173187
PRJEB1683	SAMEA1557413	ERX149151	ERR173188	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173188/ERR173188.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173188/ERR173188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173188/ERR173188_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173188/LW22F04_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173188
PRJEB1683	SAMEA1557402	ERX149152	ERR173189	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173189/ERR173189.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173189/ERR173189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173189/ERR173189_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173189/LW22F06_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173189
PRJEB1683	SAMEA1557389	ERX149153	ERR173190	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173190/ERR173190.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173190/ERR173190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173190/ERR173190_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173190/LW22F07_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173190
PRJEB1683	SAMEA1557435	ERX149154	ERR173191	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173191/ERR173191.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173191/ERR173191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173191/ERR173191_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173191/LW22M04_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173191
PRJEB1683	SAMEA1557422	ERX149155	ERR173192	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173192/ERR173192.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173192/ERR173192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173192/ERR173192_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173192/LW22M07_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173192
PRJEB1683	SAMEA1557406	ERX149156	ERR173193	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173193/ERR173193.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173193/ERR173193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173193/ERR173193_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173193/LW36F01_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173193
PRJEB1683	SAMEA1557404	ERX149157	ERR173194	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173194/ERR173194.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173194/ERR173194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173194/ERR173194_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173194/LW36F02_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173194
PRJEB1683	SAMEA1557383	ERX149158	ERR173195	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173195/ERR173195.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173195/ERR173195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173195/ERR173195_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173195/LW36F03_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173195
PRJEB1683	SAMEA1557425	ERX149159	ERR173196	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173196/ERR173196.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173196/ERR173196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173196/ERR173196_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173196/LW36F04_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173196
PRJEB1683	SAMEA1557427	ERX149160	ERR173197	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173197/ERR173197.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173197/ERR173197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173197/ERR173197_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173197/LW36F05_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173197
PRJEB1683	SAMEA1557399	ERX149161	ERR173198	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173198/ERR173198.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173198/ERR173198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173198/ERR173198_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173198/LW36F06_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173198
PRJEB1683	SAMEA1557420	ERX149162	ERR173199	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173199/ERR173199.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173199/ERR173199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173199/ERR173199_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173199/MS20U10_Meishan_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173199
PRJEB1683	SAMEA1557428	ERX149163	ERR173200	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173200/ERR173200.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173200/ERR173200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173200/ERR173200_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173200/MS20U11_Meishan_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173200
PRJEB1683	SAMEA1557395	ERX149164	ERR173201	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173201/ERR173201.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173201/ERR173201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173201/ERR173201_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173201/MS21M07_Meishan_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173201
PRJEB1683	SAMEA1557410	ERX149165	ERR173202	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173202/ERR173202.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173202/ERR173202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173202/ERR173202_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173202/MS21M14_Meishan_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173202
PRJEB1683	SAMEA1557418	ERX149166	ERR173203	41426	Phacochoerus africanus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173203/ERR173203.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173203/ERR173203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173203/ERR173203_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173203/OM001_Warthog_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173203
PRJEB1683	SAMEA1557430	ERX149167	ERR173204	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173204/ERR173204.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173204/ERR173204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173204/ERR173204_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173204/PI21F02_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173204
PRJEB1683	SAMEA1557432	ERX149168	ERR173205	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173205/ERR173205.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173205/ERR173205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173205/ERR173205_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173205/PI21F06_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173205
PRJEB1683	SAMEA1557392	ERX149169	ERR173206	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173206/ERR173206.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173206/ERR173206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173206/ERR173206_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173206/PI21M17_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173206
PRJEB1683	SAMEA1557408	ERX149170	ERR173207	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173207/ERR173207.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173207/ERR173207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173207/ERR173207_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173207/PI21M20_rh.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173207
