sample_id	breed	project
H29777	Large White	SOSFERT
H29778	Large White	SOSFERT
H29779	Large White	SOSFERT
H29780	Large White	SOSFERT
H29781	Large White	SOSFERT
H29782	Large White	SOSFERT
H29783	Large White	SOSFERT
H29784	Large White	SOSFERT
H29785	Large White	SOSFERT
H29786	Large White	SOSFERT
SAMEA1557412	Large White	PRJEB1683
SAMEA1557415	Large White	PRJEB1683
SAMEA1557431	Large White	PRJEB1683
SAMEA1557413	Large White	PRJEB1683
SAMEA1557402	Large White	PRJEB1683
SAMEA1557389	Large White	PRJEB1683
SAMEA1557435	Large White	PRJEB1683
SAMEA1557422	Large White	PRJEB1683
SAMEA1557406	Large White	PRJEB1683
SAMEA1557404	Large White	PRJEB1683
SAMEA1557383	Large White	PRJEB1683
SAMEA1557425	Large White	PRJEB1683
SAMEA1557427	Large White	PRJEB1683
SAMEA1557399	Large White	PRJEB1683
SAMEA1557405	Landrace	PRJEB1683
SAMEA1557416	Landrace	PRJEB1683
SAMEA1557426	Landrace	PRJEB1683
SAMEA1557436	Landrace	PRJEB1683
SAMEA1557390	Landrace	PRJEB1683
SAMN03031146	Landrace	PRJNA260763
SAMN03031147	Landrace	PRJNA260763
SAMN03031148	Landrace	PRJNA260763
SAMN03031149	Landrace	PRJNA260763
SAMN03031150	Landrace	PRJNA260763
SAMN03031151	Landrace	PRJNA260763
SAMN03031153	Landrace	PRJNA260763
SAMN03031155	Landrace	PRJNA260763
SAMN03031156	Landrace	PRJNA260763
SAMN03031157	Landrace	PRJNA260763
SAMN03031158	Landrace	PRJNA260763
H29767	Pietrain	SOSFERT
H29768	Pietrain	SOSFERT
H29769	Pietrain	SOSFERT
H29770	Pietrain	SOSFERT
H29771	Pietrain	SOSFERT
H29772	Pietrain	SOSFERT
H29773	Pietrain	SOSFERT
H29774	Pietrain	SOSFERT
H29775	Pietrain	SOSFERT
H29776	Pietrain	SOSFERT
SAMEA3376935	Pietrain	PRJEB9326
SAMEA3376938	Pietrain	PRJEB9326
SAMEA3376939	Pietrain	PRJEB9326
SAMEA3376940	Pietrain	PRJEB9326
SAMEA3376941	Pietrain	PRJEB9326
SAMEA3376942	Pietrain	PRJEB9326
SAMEA3376943	Pietrain	PRJEB9326
SAMEA3376944	Pietrain	PRJEB9326
SAMEA1557430	Pietrain	PRJEB1683
SAMEA1557432	Pietrain	PRJEB1683
SAMEA1557392	Pietrain	PRJEB1683
SAMEA1557408	Pietrain	PRJEB1683
SAMEA1557397	Pietrain	PRJEB1683
SAMEA1557407	Duroc	PRJEB1683
SAMEA1557419	Duroc	PRJEB1683
SAMEA1557423	Duroc	PRJEB1683
SAMEA1557434	Duroc	PRJEB1683
SAMN03031126	Duroc	PRJNA260763
SAMN03031127	Duroc	PRJNA260763
SAMN03031128	Duroc	PRJNA260763
SAMN03031129	Duroc	PRJNA260763
SAMN03031130	Duroc	PRJNA260763
SAMN03031131	Duroc	PRJNA260763
SAMN03031132	Duroc	PRJNA260763
SAMN03031133	Duroc	PRJNA260763
SAMN03031134_SRR1577868	Duroc	PRJNA260763
SAMN03031135_SRR1577869	Duroc	PRJNA260763
SAMN03031136_SRR1577870	Duroc	PRJNA260763
SAMN03031137_SRR1577871	Duroc	PRJNA260763
SAMN03031138	Duroc	PRJNA260763
SAMN03031139	Duroc	PRJNA260763
SAMN03031140	Duroc	PRJNA260763
SAMN03031141	Duroc	PRJNA260763
SAMN03031142	Duroc	PRJNA260763
SAMN03031143	Duroc	PRJNA260763
SAMN03031144	Duroc	PRJNA260763
SAMN03031145_SRR1577880	Duroc	PRJNA260763
SAMEA2612526	European Wild Boar	PRJEB1683
SAMEA2612525	European Wild Boar	PRJEB1683
SAMEA2612524	European Wild Boar	PRJEB1683
SAMEA2612523	European Wild Boar	PRJEB1683
SAMEA2612522	European Wild Boar	PRJEB1683
SAMEA2612518	European Wild Boar	PRJEB1683
SAMEA2612517	European Wild Boar	PRJEB1683
SAMEA2612516	European Wild Boar	PRJEB1683
SAMEA2612515	European Wild Boar	PRJEB1683
SAMEA2612514	European Wild Boar	PRJEB1683
SAMEA2612513	European Wild Boar	PRJEB1683
SAMEA1557433	European Wild Boar	PRJEB1683
SAMEA1557424	European Wild Boar	PRJEB1683
SAMEA1557403	European Wild Boar	PRJEB1683
SAMEA1557401	European Wild Boar	PRJEB1683
SAMEA1557394	European Wild Boar	PRJEB1683
SAMEA1557387	European Wild Boar	PRJEB1683